,review,processed_text
0,Pattaya for eat,[]
1,ที่นี่ติดชายหาดเลย มีบาร์ให้นั่งกินอาหารมองเห็น วิวทะเลยามเย็น ที่นี่ขายของราคาถูกมาก อาหารน่ากินทุกอย่างเลย จากที่พักของเราเดินไป50เมตร,"['ติด', 'ชาย', 'หาด', 'บาร์', 'นั่ง', 'กิน', 'อาหาร', 'วิวทะเล', 'ยามเย็น', 'ขาย', 'ราคา', 'อาหาร', 'กิน', 'พัก', 'เดิน', 'เมตร']"
2,E,[]
3,"ที่นี่ถ้า5ทุ่มเป๊ะปิดเลย แถมยามยังมาไล่แบบกินเร็วๆ ปิดแล้ว
คือเรามานั่งกินใกล้จะหมดละหล่ะ แต่แบบมาสองรอบแบบแค่เวลาเดินไปยังไม่ถึง1นาทีเดินกลับมาไล่อีกรอบ
ห่วยมาก","['ทุ่มเป๊ะ', 'แถม', 'ยาม', 'ไล่', 'กิน', 'นั่ง', 'กิน', 'หล่ะ', 'สอง', 'รอบ', 'เวลา', 'เดิน', 'นาที', 'เดิน', 'ไล่', 'ห่วย']"
4,ตลาดกลางคืน ริมชายหาด สินค้าหลากหลาย,"['ตลาด', 'กลาง', 'คืน', 'ริม', 'ชายหาด', 'สินค้า', 'หลากหลาย']"
5,ตลาดกลางคืนริมถนนเลียบชายหาดจอมเทียน มีของกินของใช้ เสื้อผ้า ให้เลือกซื้อมากมาย อาหารทะเลสด อร่อย ราคาถูก มีบาร์บริการเครื่องดื่ม ช่วงเย็นถึงค่ำนักท่องเที่ยวเยอะ มีที่จอดรถด้านหลังตลาด,"['ตลาด', 'กลาง', 'คืน', 'ริม', 'ถนน', 'เลียบ', 'ชาย', 'หาดจอมเทียน', 'กิน', 'เสื้อผ้า', 'เลือก', 'ซื้อ', 'อาหาร', 'ทะเลสด', 'อร่อย', 'ราคา', 'บาร์', 'บริการ', 'เครื่อง', 'ดื่ม', 'เย็น', 'ค่ำ', 'ท่องเที่ยว', 'จอด', 'รถ', 'ตลาด']"
6,ถนนอาหารหลากหลาย ราคาไม่แพง เป็นถนนสำหรับเดินกลางคืนที่น่าสนใจ,"['ถนนอาหาร', 'หลากหลาย', 'ราคา', 'แพง', 'ถนน', 'สำหรับ', 'เดิน', 'กลาง', 'คืน', 'สนใจ']"
7,Street Food Jomtien beach แหล่งรวมอาหารที่หลากหลาย ราคาไม่แพง มีที่นั่งกินอาหารอยู่ด้านหน้าตลาด และมีดนตรีให้ฟัง ถ้าไม่เข้าไปเที่ยวกลางคืนที่พัทยา ที่นี่ก็น่าสนใจเหมาะสำหรับคนชอบกิน มีทั้งแบบใส่กล่องกลับไปกินที่ห้อง และใส่จานนั่งกินที่ตลาด แม่ค้าพ่อค้าเป็นกันเองมากกกก ตลาดอยู่หน้าหาดจอมเทียน เดินไปชายหาดได้แค่ถนนกั้น,"['แหล่ง', 'อาหาร', 'หลากหลาย', 'ราคา', 'แพง', 'นั่ง', 'กิน', 'อาหาร', 'หน้าตลาด', 'ดนตรี', 'ฟัง', 'เที่ยว', 'กลาง', 'คืน', 'พัทยา', 'สนใจ', 'เหมาะ', 'สำหรับ', 'คน', 'ชอบ', 'กิน', 'ใส่', 'กล่อง', 'กิน', 'ห้อง', 'ใส่', 'จาน', 'นั่ง', 'กิน', 'ตลาด', 'แม่ค้า', 'พ่อค้า', 'กกก', 'ตลาด', 'หน้า', 'หาดจอมเทียน', 'เดิน', 'ชาย', 'หาด', 'ถนน', 'กั้น']"
8,แหล่งท่องเที่ยวย่ามค่ำคืน,"['แหล่ง', 'ท่องเที่ยว', 'ย่าม', 'ค่ำคืน']"
9,เป็นแห่งช้อปปิ้งพื้นเมือง ที่มีของไทยให้เลือกหลายอย่าง สถานที่เดินง่าย กว้างขวาง ตั้งอยู่ใกล้ๆ กับห้างเซ็ลทรัล,"['ช้อปปิ้ง', 'พื้นเมือง', 'ไทย', 'เลือก', 'สถานที่', 'เดิน', 'ห้างเซ็ลทรัล']"
